标题：为什么说宁德和赛力斯将越来越难和比亚迪竞争
发布者：（见视频页）
链接：https://www.bilibili.com/video/BV14YeH6fEyC
提取方式：匿名 playurl 音频 + Whisper ASR (small)

────────────────────────────────────────

[00:00] 各位观众大家好
[15:58] 这一个领域的技术
[15:59] 它结合了工程机械材料学
[16:02] 整车的电瓶台
[16:03] 智能制造在内的一系列全链流创新
[16:07] 那这样的创新
[16:09] 你一个单一的电池厂商你是很难完成的
[16:12] 对不对
[16:13] 你必须得有整车厂不计投入的配合测试
[16:18] 对吧
[16:18] 然后并且研发效率
[16:22] 研发效率制造效率
[16:24] 扩张效率都要能跟上的这种情况下
[16:28] 你才能够实现这样的技术
[16:30] 对不对
[16:31] 所以如果您的时代去联合一些主机场
[16:34] 去做这件事的话
[16:35] 他在我刚才说的几个方面
[16:37] 研发效率制造效率扩张效率这块
[16:40] 一定是远低于比亚迪的
[16:42] 所以大家不要觉得现在比亚迪铺设
[16:44] 赵瓦闪冲铺的很慢
[16:46] 然后二代刀的刀片的产能也提的很慢
[16:49] 那是因为大家根本不懂工业制造
[16:51] 对吧
[16:52] 工业制造的提产能没那么容易的
[16:54] 比亚迪现在提的都这么慢
[16:56] 那么意味着其他车企相对于比亚迪只会更慢
[17:00] 所以当时比亚迪赵瓦闪冲技术刚出来的时候
[17:04] 我有一个判断
[17:05] 就说这项技术至少领先市场18个月
[17:09] 就是一年半
[17:10] 当时有很多人跟我变
[17:14] 或者还有很多敌粉也在跟我说
[17:16] 根本不可能领先那么久
[17:18] 很快这个技术就会被友商超过去
[17:20] 我说根本不是那么回事
[17:22] 对吧
[17:22] 你从这个技术研发出来到它上车
[17:26] 然后到后面的提产能到铺装
[17:28] 这些东西一步快不步快
[17:31] 而且其他企业做这件事只会比比亚迪更慢
[17:35] 不会比它更快
[17:36] 所以现在我们看这个赵瓦闪冲过去了
[17:39] 这已经大半年了
[17:40] 对不对
[17:41] 半年了
[17:42] 那我还没有看到就是友商哪怕装车的东西
[17:46] 都是还停留在PVT上面对不对
[17:48] 所以类似这样的创新
[17:49] 它需要的是一个全链条的密切配合
[17:53] 比方说我们可以设想一个场景
[17:55] 在比亚迪内部经常会发生的场景
[17:58] 上个月可能设计院这边出的电池设计
[18:01] 可能这个月
[18:02] 一部那边就拿出样件了
[18:04] 我说的一部是随便说的
[18:06] 只是举个例子
[18:07] 不是事实
[18:08] 可能一部就拿出样件了
[18:09] 可能两周后
[18:10] 四部那边都已经开始做工程车测试了
[18:14] 过程中可能会让一个新技术院的某个AI团队
[18:20] 然后电池研究院的那边某一个团队
[18:23] 全程派团队注点支持
[18:27] 这样一个全链条协作的这样的一个项目
[18:32] 可能比亚迪内部
[18:33] 它就可以非常高效的去完成
[18:35] 而在您的时代和其他主机场之间
[18:38] 对吧
[18:39] 大家在企业待过就知道
[18:42] 哪怕是跨部门协调的东西
[18:45] 可能都很多
[18:46] 那你要在跨企业之间
[18:48] 你光领导审核签字
[18:49] 可能几个月就没了
[18:51] 对不对
[18:52] 这个效率是完全不可比的
[18:54] 所以我觉得这背后更本质的原因
[18:57] 就是说比亚迪创新能力的领先
[19:00] 领先在就说
[19:01] 他已经通过他的垂直诚合
[19:04] 在新能源行业的这种有序的积累
[19:07] 形成了这个产业内上最大的一个创新土壤
[19:11] 在这个土壤上
[19:13] 它不用每个人
[19:14] 不用我招收天才
[19:17] 在这个土壤上
[19:19] 它天然就是一个生产天才的地方
[19:23] 而这种垂直诚合
[19:24] 它是来自于数十年积累的一个有序扩张
[19:28] 这个很重要
[19:30] 在这个过程中
[19:31] 比亚迪没有依赖任何外部资本
[19:33] 全部依靠的是自由产品的利润
[19:36] 那这种扎实的积累
[19:38] 是我认为是更加可贵的
[19:40] 它和垃圾的那种就是什么靠资本
[19:43] 或者靠概念
[19:45] 或者靠融资迅速崛起的一个空壳的工资
[19:48] 它有着本质的区别
[19:49] 对吧
[19:50] 什么生态化反
[19:51] 这些讲概念的东西
[19:53] 没有实际的产品的支撑
[19:55] 而比亚迪完全都可以自我造选
[19:58] 同时现在我们可以看
[19:59] 智能化的下半场
[20:00] 比亚迪已经开始
[20:02] 先一人一步开始
[20:03] 向着巨声智能体的方向去迭代了
[20:05] 对不对
[20:06] 我上一个视频说过
[20:08] 在这个巨声地整体方向
[20:10] 你不要说那些乱七八糟的技术
[20:13] 什么又是什么VLA
[20:14] 又是折腻的
[20:15] 对吧
[20:16] 都都谈不到那个
[20:17] 第一步
[20:18] 你如何解决你的芯片产能问题
[20:21] 所以你有序的扩展
[20:23] 你在芯片制造
[20:25] 在固态电池
[20:26] 在高精度控制电机
[20:27] 这些新的产业方向的技术迭代的积累
[20:32] 那就是它下一步
[20:33] 价值重估的一个基础
[20:35] 对吧
[20:36] 而这些东西
[20:37] 宁德时代就都不具备
[20:39] 所以说到这呢
[20:41] 我就是希望大家注重一个事实
[20:44] 就是
[20:44] 呃
[20:45] 为什么说
[20:47] 所有新能源的
[20:48] 这种领先的话时代的技术
[20:50] 都有比亚迪提出
[20:52] 而不是宁德时代
[20:54] 那么在这个事实的影响下
[20:55] 你有没有反思过
[20:57] 到底谁在给你植入一个概念
[20:59] 宁德时代的三元理电池更安全
[21:02] 它的三元理电池更领先
[21:04] 谁在给你植入一个概念
[21:06] 比亚迪的垂直整合不行
[21:08] 谁在给你植入一个概念
[21:09] 软件才能定义汽车
[21:11] 谁在拿这些
[21:13] 啊
[21:14] 狗屎一样的言论去影响你的投资决策
[21:16] 对不对
[21:17] 我认为啊
[21:18] 如果你有幸看到这个视频
[21:21] 然后呢
[21:22] 同时你的认知还停留在我刚才说的这种认知
[21:26] 当你醒悟的时候
[21:27] 请远离那些欺骗你的人
[21:30] 好吧
[21:30] 那下面我们说第三点
[21:32] 就为什么说
[21:33] 塞利斯
[21:34] 他的戏份已经杀清了
[21:37] 回顾我之前关于这个塞利斯的文章啊
[21:40] 我之前做过一个最重要的战略判断在于
[21:43] 就是当塞利斯决定成为华为代工厂的那一刻
[21:47] 就已经注定了塞利斯这个企业
[21:49] 他是没有长期投资价值的
[21:51] 至于我这里只从投资的角度来说
[21:54] 因为塞利斯呢
[21:55] 他没有主体性
[21:57] 没有主体性
[21:58] 你就没有独立的企业战略
[22:00] 没有独立的企业战略
[22:02] 就决定了塞利斯这个企业的一切行为
[22:05] 都不得不驱从于华为的战略
[22:08] 所以从塞利斯
[22:11] 只能生产哪些车型到塞利斯
[22:13] 只能在哪些地方投入研发
[22:16] 到塞利斯
[22:17] 必须多大程度上
[22:18] 把智能化平台这个这个宝贵的资产让度给华为
[22:23] 再到塞利斯
[22:24] 必须拿出多少利润去满足华为员工的分红要求
[22:28] 这家企业都没有自己的决定权啊
[22:32] 他没有自己的主体性
[22:33] 所以我在2021年就预言
[22:35] 华为
[22:38] 必然不可能长期维持和塞利斯的这种合作模式
[22:42] 因为这完全会阻碍华为去拓展更多的合作伙伴
[22:47] 对吧
[22:47] 我的动态里
[22:49] 把我当时写的那个长文也放出来了
[22:51] 华为的内部
[22:52] 也必然会受到越来越大的压力
[22:55] 各方面压力
[22:55] 比如说财务压力
[22:57] 比如说会压力
[22:58] 比如说内部资源压力
[23:00] 那受到这些压力
[23:01] 他就一定会去重置其造车的战略
[23:05] 那今天这个消息发布之后呢
[23:07] 我认为是华为内部
[23:09] 两条路线的一次
[23:11] 一次
[23:13] 一次清算
[23:15] 就是这一次之后呢
[23:17] 华为内部可能就只有一条造车路线了
[23:21] 那么今天这个发布之后
[23:23] 我看到塞利斯的股价在十点半
[23:25] 以及下午开盘的时候
[23:27] 竟然还能短暂拉涨一下
[23:28] 我不知道有什么样的资金
[23:31] 如此的愚蠢
[23:32] 只能说这个是市场上的韭菜太多了
[23:35] 明显一个放在眼前的事情
[23:38] 是塞利斯的故事已经完结了
[23:40] 后续可以预见的事实是
[23:44] 几个
[23:44] 我说几个
[23:45] 第一
[23:46] 问借这个品牌将再也没有办法
[23:48] 撑起他比其他同类型的车型
[23:52] 多卖十万的这种价格一价
[23:55] 那短期内
[23:56] 他可能还有一定的认知惯性啊
[23:58] 但是呢
[23:59] 随着华为的其他的合作伙伴
[24:01] 纷纷拒要求更多的含华量
[24:04] 那么塞利斯就一定会遭到剧烈的认知稀释
[24:07] 华为这个品牌呢
[24:09] 而且问借这个品牌呢
[24:10] 他最多就是华为将以后的几个借之一
[24:15] 对吧
[24:15] 回归这几个借的军旨状态
[24:17] 那同时
[24:18] 随着这种
[24:19] 嗨摩式的合作伙伴的增加
[24:21] 他的认知还将继续稀释
[24:23] 所以投塞利斯就是投华为这个错误的东西啊
[24:27] 我们现在可以终止终结了
[24:29] 不用讨论啊
[24:30] 完全就不是一回事
[24:32] 第二
[24:32] 塞利斯前期在智能化是零投入
[24:35] 因为这块投入全部是依赖华为的
[24:38] 这就决定了
[24:39] 他必必须得继续依附于华为的整套智能化系统
[24:44] 对不对
[24:44] 你还得同时
[24:45] 你还得继续租用华为的渠道
[24:48] 还得去蹭华为的影响力
[24:51] 那就不得不缴纳这种隐形的认知税
[24:54] 没有办法
[24:55] 你的产品力不行
[24:56] 你就只能靠缴纳认知税
[24:58] 靠认知去弥补你的产品上的短板
[25:01] 对吧
[25:02] 那么成本上
[25:03] 他就就不会有太大的空间
[25:05] 随着越来越多的用户越来越清楚的看清楚这一点
[25:09] 那我认为他在问戒这个品牌上进行认知洗脑的成本
[25:15] 就会越来越大
[25:16] 这一点上包括尊介是一样的
[25:18] 对不对
[25:19] 当你做的事情跟事实不符的时候
[25:22] 你就得花巨大的代价
[25:24] 去维护虚假的繁荣
[25:27] 就像现在的美国一样
[25:28] 对吧
[25:29] 那第三
[25:30] 塞利斯
[25:30] 他将很难在机器人智能化芯片这种领域有实质性的研发进来
[25:37] 因为长期以来
[25:39] 这一块都是依赖华为的
[25:40] 现在华为退出了这个模式之后
[25:43] 那他的代工厂就已经退出了智能化下半场的核心玩家的竞争
[25:50] 对吧 运气好
[25:51] 你能成为华为技术开花的一个陪衬
[25:54] 对吧
[25:54] 运气不好
[25:55] 那你就会敏然成为华为众多合作伙伴中平庸的一个
[26:00] 所以塞利斯根本就不等于华为
[26:03] 谁再给你植入这个错误的认知呢
[26:06] 对吧
[26:07] 最后我想说
[26:08] 全球范围内的新农员技术革命还远未走完
[26:12] 但这个市场上最有活力的企业
[26:15] 一步领先就会步步领先
[26:17] 对吧
[26:17] 变成世界的农头
[26:19] 那汽车智能化的发展又会催生出一些新的一些技术的领域
[26:24] 比方说我刚才提到的
[26:27] 第一关就是芯片产能
[26:29] 嗯
[26:30] 你要说你什么智能化多牛逼多牛逼
