2026环塔拉级赛T2量产组,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
SS2,4,251,长城坦克700K-MAN车队,坦克700 Hi4-T,尼古拉斯,,,3:10:50,T2.E
SS2,5,268,江西五十铃沙蜥越野车队,五十铃D-MAX,梁志辉,,,3:22:30,T2.1
SS2,6,285,东利机械乌鲁木齐官方坦克团车队,火炮2.0,周任斌,,,3:36:01,T2.3
SS2,7,261,长城坦克700K-MAN车队,坦克700,王惠军,,,3:31:24,T2.E
SS2,8,283,东利机械乌鲁木齐方坦克团车队,火炮2.0,黄东旭,,,3:41:24,T2.3
SS2,9,258,长城火炮永利车队,火炮V6,那音太,,,4:00:20,T2.1
SS2,10,272,东风猛士车队,猛士M817,钱红宇,,,3:45:46,T2.E
SS2,11,265,212越野车车队,212 T01,王鹏,,,4:00:47,T2.1
SS2,12,256,长城坦克Hi4T车队,坦克300 Hi4-T,姚卫强,,,4:05:47,T2.E
SS2,13,262,长城坦克Hi4车队,坦克300 Hi4-T,马海龙,,,3:36:10,T2.E
SS2,14,277,纵横F700赛车队,纵横F700,梁亚洲,,,4:11:44,T2.E
SS2,15,267,江西五十铃沙蜥越野车队,五十铃D-MAX,王洪江,,,4:01:25,T2.1
SS2,16,275,纵横F700赛车队,纵横F700,周元福,,,4:05:57,T2.E
SS2,17,255,长城坦克Hi4车队,坦克500 Hi4-Z,丽贝卡·布西,,,3:53:59,T2.E
SS2,18,278,纵横G700赛车队,纵横G700,孟斌,,,3:51:23,T2.E
SS2,19,293,沙蜥越赛车队,坦克300,张自昌,,,4:12:29,T2.3
SS2,20,273,东风猛士车队,猛士M817,杜军,,,4:17:02,T2.E
SS2,21,269,江西五十铃沙蜥越野车队,五十铃D-MAX T,于泽顺,,,4:24:06,T2.1
SS2,22,290,荣源赛车,丰田坦途,吴伟强,,,4:19:40,T2.3
SS2,23,271,东风猛士车队,猛士M817,刘飞亮,,,4:35:19,T2.E
SS2,24,282,东利机械乌鲁木齐方坦克团车队,火炮2.0,张国强,,,3:58:39,T2.3
SS2,25,276,纵横F700赛车队,纵横F700,李显玉,,,3:36:27,T2.E
SS2,26,296,沙蜥越赛车队,坦克300,韩宝庆,,,4:56:23,T2.3
SS2,27,266,212越野车车队,212 T01,李强,,,5:00:49,T2.1
SS2,28,288,荣源赛车,丰田酷路泽,梁杰,,,5:05:39,T2.3
SS2,29,295,沙蜥越赛车队,坦克300,程玉茹（女）,,,5:18:20,T2.3
SS2,30,270,东风猛士车队,猛士M817,杜江伟,,,6:05:21,T2.E
SS2,31,228,塞轮轮胎昆仑之巅赛车队,锐骐7,宋皆涛,,,5:29:53,T2.3
SS2,32,287,东利机械赛车队,坦克300,李江,,,3:53:33,T2.3
SS2,33,259,长城火炮永利车队,火炮V6,李晓文,,,3:49:15,T2.1
SS2,34,299,湖南马帮沙豹赛车俱乐部,雪狼牧马人,胡超,,,4:44:38,T2.3
SS2,35,291,陕西鑫齐电力赛车俱乐部,V6火炮,张战欣,,,5:33:25,T2.3
SS2,36,260,长城坦克700K-MAN车队,坦克700,刘红武,,,3:19:55,T2.E
SS2,37,298,湖南马帮沙豹赛车俱乐部,雪狼牧马人,肖敏,,,4:39:49,T2.3
SS2,38,229,塞轮轮胎昆仑之巅赛车队,锐骐7,许元东,,,5:22:28,T2.3
SS2,39,297,沙蜥越赛车队,坦克300,李岩,,,6:58:38,T2.3
SS2,40,281,K-MAN（中国）车队,长城炮,吴福富,,,4:16:19,T2.3
SS2,41,280,纵横G700赛车队,纵横G700,张洋,,,5:32:22,T2.E
SS2,42,263,长城坦克Hi4T车队,坦克300 Hi4-T,张剑锋,,,7:00:00,T2.E
SS2,43,289,荣源赛车,牧马人,邵建苗,,,4:42:47,T2.3
SS2,44,279,纵横G700赛车队,纵横G700,乌日图那生,,,15:30:00,T2.E
SS2,45,292,润之林营地赛车队,风暴,吕和平,,,23:00:00,T2.3
SS2,46,227,上海临港SPT车队,BAW2033CGB1,刘刃,,,6:09:18,T2.3
SS2,47,286,东利机械赛车队,五十铃,苏义刚,,,23:00:00,T2.3
,,,,,,,,,
赛段,LEG3排名,车号,俱乐部,型号,车手（国籍）,SS3 用时,SS3 罚时,LEG3 用时,组别
SS3,1,257,长城火炮东利车队,火炮 V6,额尼日勒图 (CHN),4:38:13,-,4:38:13,T2.1
SS3,2,252,长城坦克 Hi4 车队,坦克 700-Hi4T,保罗·纳瓦罗 (ESP),4:41:29,-,4:41:29,T2.E
SS3,3,251,长城坦克 700 · K-MAN 车队,坦克 700-Hi4T,尼古拉斯·卡维利亚索 (ARG),4:56:53,-,4:56:53,T2.E
SS3,4,262,长城坦克 Hi4 车队,坦克 300Hi4T,马海龙 (CHN),4:58:33,-,4:58:33,T2.E
SS3,5,258,长城火炮东利车队,火炮 V6,那音太 (CHN),5:00:26,-,5:00:26,T2.1
SS3,6,285,东利机械乌鲁木齐官方坦克团车队,火炮 2.0,周任萱 (CHN),5:00:46,-,5:00:46,T2.3
SS3,7,283,东利机械乌鲁木齐官方坦克团车队,火炮 2.0,黄东旭 (CHN),5:03:02,-,5:03:02,T2.3
SS3,8,272,东风猛士车队,猛士 M817,侯红宁 (CHN),5:11:57,-,5:11:57,T2.E
SS3,9,259,长城火炮东利车队,火炮 V6,李晓文 (CHN),5:13:38,-,5:13:38,T2.1
SS3,10,275,纵横 F700 赛车队,F700,周元福 (CHN),5:14:47,-,5:14:47,T2.E
SS3,11,277,纵横 F700 赛车队,F700,梁起洲 (CHN),5:15:26,-,5:15:26,T2.E
SS3,12,256,长城坦克 Hi4T 车队,300Hi4T,姚卫强 (CHN),5:16:08,-,5:16:08,T2.E
SS3,13,260,长城坦克 700 · K-MAN 车队,坦克 700,刘红武 (CHN),5:16:43,-,5:16:43,T2.E
SS3,14,282,东利机械乌鲁木齐官方坦克团车队,火炮 2.0,张国强 (CHN),5:19:22,-,5:19:22,T2.3
SS3,15,276,纵横 F700 赛车队,F700,李鹏玉 (CHN),5:24:01,-,5:24:01,T2.E
SS3,16,261,长城坦克 700 · K-MAN 车队,坦克 700,王惠军 (CHN),5:24:23,-,5:24:23,T2.E
SS3,17,271,东风猛士车队,猛士 M817,刘飞竞 (CHN),5:24:27,-,5:24:27,T2.E
SS3,18,296,沙蜥减震器车队,坦克 300,韩喜庆 (CHN),5:25:12,-,5:25:12,T2.3
SS3,19,265,212 越野车车队,T01,王鹏 (CHN),5:27:22,-,5:27:22,T2.1
SS3,20,270,东风猛士车队,猛士 M817,杜江伟 (CHN),5:28:11,-,5:28:11,T2.E
SS3,21,293,沙蜥减震器车队,坦克 300,张启昌 (CHN),5:35:13,-,5:35:13,T2.3
SS3,22,278,纵横 G700 赛车队,G700,孟斌 (CHN),5:35:44,-,5:35:44,T2.E
SS3,23,269,江西五十铃沙蜥减震器车队,D-MAX,于泽顺 (CHN),5:36:00,-,5:36:00,T2.1
SS3,24,267,江西五十铃沙蜥减震器车队,D-MAX,王洪江 (CHN),5:40:35,-,5:40:35,T2.1
SS3,25,268,江西五十铃沙蜥减震器车队,D-MAX,梁志辉 (CHN),5:47:58,-,5:47:58,T2.1
SS3,26,255,长城坦克 Hi4 车队,坦克 500-Hi4Z,丽贝卡·布西 (ITA),5:48:56,-,5:48:56,T2.E
SS3,27,266,212 越野车车队,T01,李强 (CHN),5:57:53,-,5:57:53,T2.1
SS3,28,273,东风猛士车队,猛士 M817,杜军 (CHN),6:03:04,-,6:03:04,T2.E
SS3,29,253,长城坦克 Hi4T 车队,坦克 700-Hi4T,杰拉德·法雷斯 (ESP),6:13:19,-,6:13:19,T2.E
SS3,30,288,荣耀赛车,酷陆泽JTEBU,荣杰 (CHN),6:20:20,-,6:20:20,T2.3
SS3,31,295,沙蜥减震器车队,坦克 300,霍玉哲 (女)(CHN),6:13:16,0:15:00,6:28:16,T2.3
SS3,32,289,荣耀赛车,牧马人四门款,邵建苗 (CHN),6:52:56,-,6:52:56,T2.3
SS3,33,291,陕西惠齐电力赛车俱乐部,V6 火炮,张执欣 (CHN),6:47:50,0:15:00,7:02:50,T2.3
SS3,34,299,湖南马帮沙蜥减震器车队,1C4HJXFG,胡超 (CHN),7:03:26,-,7:03:26,T2.3
SS3,35,227,上海临港 SPT 车队,BAW2033CGB,刘刃 (CHN),7:04:05,-,7:04:05,T2.3
SS3,36,298,湖南马帮沙蜥减震器车队,1C4PJXFN,曹敏 (CHN),7:06:02,-,7:06:02,T2.3
SS3,37,228,赛轮轮胎黑曼巴锐骐车队,锐骐 7,宋海涛 (CHN),6:52:06,0:15:00,7:07:06,T2.3
SS3,38,229,赛轮轮胎黑曼巴锐骐车队,锐骐 7,许元奈 (CHN),8:13:23,-,8:13:23,T2.3
SS3,39,297,沙蜥减震器车队,坦克 300,李岩 (CHN),8:28:18,-,8:28:18,T2.3
SS3,40,287,东利机械赛车队,坦克 300,李江 (CHN),9:07:24,-,9:07:24,T2.3
SS3,41,286,东利机械赛车队,MUX,苏义刚 (CHN),12:00:00,"1 day, 1:15:00","1 day, 13:15:00",T2.3
SS3,42,281,K-MAN（中国）车队,长城炮,吴福喜 (CHN),12:00:00,"1 day, 11:45:00","1 day, 23:45:00",T2.3
SS3,43,290,荣耀赛车,中机坦途,吴伟琦 (CHN),12:00:00,"1 day, 11:45:00","1 day, 23:45:00",T2.3
SS3,44,292,海之林盛世赛车队,风暴,吕和平 (CHN),12:00:00,"1 day, 21:30:00","2 days, 9:30:00",T2.3
SS3,45,280,纵横 G700 赛车队,G700,张洋 (CHN),12:00:00,"1 day, 22:15:00","2 days, 10:15:00",T2.E
SS3,46,263,长城坦克 Hi4T 车队,坦克 300Hi4T,张剑峰 (CHN),12:00:00,"1 day, 22:15:00","2 days, 10:15:00",T2.E
SS3,47,279,纵横 G700 赛车队,G700,乌日图那生 (CHN),12:00:00,"1 day, 22:15:00","2 days, 10:15:00",T2.E
,,,,,,,,,
赛段,LEG4排名,车号,俱乐部,型号,车手（国籍）,SS4用时,SS4罚时,LEG4用时,组别级别
SS4,35,273,东风猛士车队,猛士M817,杜军（CHN）,1:09:13,,1:09:13,T2.E
SS4,37,252,长城坦克hi4车队,坦克700-Hi4T,PAU NAVARRO FERRER（ESP）,1:09:37,,1:09:37,T2.E
SS4,42,277,纵横F700赛车队,F700,梁起洲（CHN）,1:10:24,,1:10:24,T2.E
SS4,43,251,长城坦克700·K-MAN车队,坦克700-Hi4T,NICOLAS EDUARDO CAVIGLIASSO（ARG）,1:11:02,,1:11:02,T2.E
SS4,48,256,长城坦克hi4T车队,300Hi4T,姚卫强（CHN）,1:11:41,,1:11:41,T2.E
SS4,51,253,长城坦克hi4T车队,坦克700-Hi4T,GERARD FARRES GUELL（ESP）,1:11:59,,1:11:59,T2.E
SS4,53,258,长城火炮东利车队,火炮V6,那音太（CHN）,1:12:14,,1:12:14,T2.1
SS4,54,275,纵横F700赛车队,F700,周元福（CHN）,1:12:38,,1:12:38,T2.E
SS4,55,269,江西五十铃沙蜥减震器车队,D-MAX,于泽顺（CHN）,1:12:45,,1:12:45,T2.1
SS4,56,267,江西五十铃沙蜥减震器车队,D-MAX,王洪江（CHN）,1:13:05,,1:13:05,T2.1
SS4,61,257,长城火炮东利车队,火炮V6,额尼日勒图（CHN）,1:14:30,,1:14:30,T2.1
SS4,63,271,东风猛士车队,猛士M817,刘飞竞（CHN）,1:15:16,,1:15:16,T2.E
SS4,65,272,东风猛士车队,猛士M817,侯红宁（CHN）,1:15:41,,1:15:41,T2.E
SS4,66,260,长城坦克700·K-MAN车队,坦克700,刘红武（CHN）,1:16:15,,1:16:15,T2.E
SS4,67,266,212越野车车队,T01,李强（CHN）,1:16:57,,1:16:57,T2.1
SS4,70,276,纵横F700赛车队,F700,李鹏玉（CHN）,1:17:34,,1:17:34,T2.E
SS4,77,278,纵横G700赛车队,G700,孟斌（CHN）,1:19:36,,1:19:36,T2.E
SS4,78,270,东风猛士车队,猛士M817,杜江伟（CHN）,1:19:37,,1:19:37,T2.E
SS4,81,261,长城坦克700·K-MAN车队,坦克700,王惠军（CHN）,1:20:46,,1:20:46,T2.E
SS4,85,280,纵横G700赛车队,G700,张洋（CHN）,1:22:14,,1:22:14,T2.E
SS4,87,255,长城坦克hi4车队,坦克500-Hi4Z,REBECCA BUSI（ITA）,1:23:36,,1:23:36,T2.E
SS4,93,265,212越野车车队,T01,王鹏（CHN）,1:26:21,,1:26:21,T2.1
SS4,95,259,长城火炮东利车队,火炮V6,李晓文（CHN）,1:27:42,,1:27:42,T2.1
SS4,101,262,长城坦克hi4车队,坦克300Hi4T,马海龙（CHN）,1:38:07,,1:38:07,T2.E
SS4,103,268,江西五十铃沙蜥减震器车队,D-MAX,梁志辉（CHN）,1:40:24,,1:40:24,T2.1
SS4,106,263,长城坦克Hi4T车队,坦克300Hi4T,张剑峰（CHN）,1:41:57,,1:41:57,T2.E
SS4,124,279,纵横G700赛车队,G700,乌日图那生（CHN）,3:00:00,13:45:00,16:45:00,T2.E
,,,,,,,,,
赛段,赛段排名,车号,俱乐部,型号,车手（国籍）,SS5用时,SS5罚时,LEG5用时,组别级别
SS5,,251,长城坦克700K-MAN车队,坦克700 Hi4-T,尼古拉斯,,,06:51:02,T2.E
SS5,,252,长城坦克Hi4车队,坦克700 Hi4-T,保·纳瓦罗,,"1 day, 18:15:00","2 days, 6:15:00",T2.E
SS5,,253,长城坦克Hi4T车队,坦克700 Hi4-T,杰拉德·法雷斯,,"1 day, 22:30:00","2 days, 10:30:00",T2.E
SS5,,255,长城坦克Hi4车队,坦克500 Hi4-Z,丽贝卡·布西,,"1 day, 13:00:00","2 days, 1:00:00",T2.E
SS5,,256,长城坦克Hi4T车队,坦克300 Hi4-T,姚卫强,,"1 day, 21:45:00","2 days, 9:45:00",T2.E
SS5,,257,长城火炮永利车队,火炮V6,魏尼日勒图,,,07:07:22,T2.1
SS5,,258,长城火炮永利车队,火炮V6,那音太,,"1 day, 13:30:00","2 days, 1:30:00",T2.1
SS5,,259,长城火炮永利车队,火炮V6,李晓文,,,10:28:02,T2.1
SS5,,260,长城坦克700K-MAN车队,坦克700,刘红武,,"1 day, 21:00:00","2 days, 9:00:00",T2.E
SS5,,261,长城坦克700K-MAN车队,坦克700,王惠军,,,08:10:29,T2.E
SS5,,262,长城坦克Hi4车队,坦克300 Hi4-T,马海龙,,,07:22:50,T2.E
SS5,,263,长城坦克Hi4T车队,坦克300 Hi4-T,张剑锋,,,07:22:19,T2.E
SS5,,265,212越野车车队,212 T01,王鹏,,,08:22:09,T2.1
SS5,,266,212越野车车队,212 T01,李强,,,08:27:57,T2.1
SS5,,267,江西五十铃沙蜥越野车队,五十铃D-MAX,王洪江,,"1 day, 22:30:00","2 days, 10:30:00",T2.1
SS5,,268,江西五十铃沙蜥越野车队,五十铃D-MAX,梁志辉,,,09:07:47,T2.1
SS5,,269,江西五十铃沙蜥越野车队,五十铃D-MAX T,于泽顺,,,06:38:56,T2.1
SS5,,270,东风猛士车队,猛士M817,杜江伟,,,08:14:24,T2.E
SS5,,271,东风猛士车队,猛士M817,刘飞亮,,,07:37:00,T2.E
SS5,,272,东风猛士车队,猛士M817,钱红宇,,,10:25:29,T2.E
SS5,,273,东风猛士车队,猛士M817,杜军,,,10:30:44,T2.E
SS5,,275,纵横F700赛车队,纵横F700,周元福,,,07:55:28,T2.E
SS5,,276,纵横F700赛车队,纵横F700,李显玉,,,08:24:42,T2.E
SS5,,277,纵横F700赛车队,纵横F700,梁亚洲,,,08:07:21,T2.E
SS5,,278,纵横G700赛车队,纵横G700,孟斌,,,07:44:31,T2.E
SS5,,279,纵横G700赛车队,纵横G700,乌日图那生,,,07:48:19,T2.E
SS5,,280,纵横G700赛车队,纵横G700,张洋,,,07:48:52,T2.E
,,,,,,,,,
赛段,赛段排名,车号,俱乐部,型号,车手（国籍）,,,SS6总用时,组别
SS6,33,251,长城坦克700K-MAN车队,坦克700 Hi4-T,尼古拉斯,,,3:26:47,T2.E
SS6,35,252,长城坦克Hi4车队,坦克700 Hi4-T,保·纳瓦罗,,,3:28:28,T2.E
SS6,40,279,纵横G700赛车队,纵横G700,乌日图那生,,,3:31:24,T2.E
SS6,41,271,东风猛士车队,猛士M817,刘飞亮,,,3:32:41,T2.E
SS6,42,273,东风猛士车队,猛士M817,杜军,,,3:33:45,T2.E
SS6,43,257,长城火炮永利车队,火炮V6,魏尼日勒图,,,3:34:45,T2.1
SS6,44,268,江西五十铃沙蜥越野车队,五十铃D-MAX,梁志辉,,,3:39:23,T2.1
SS6,50,280,纵横G700赛车队,纵横G700,张洋,,,3:46:21,T2.E
SS6,51,261,长城坦克700K-MAN车队,坦克700,王惠军,,,3:49:20,T2.E
SS6,55,259,长城火炮永利车队,火炮V6,李晓文,,,3:53:32,T2.1
SS6,56,262,长城坦克Hi4车队,坦克300 Hi4-T,马海龙,,,3:55:02,T2.E
SS6,58,269,江西五十铃沙蜥越野车队,五十铃D-MAX T,于泽顺,,,3:55:56,T2.1
SS6,60,278,纵横G700赛车队,纵横G700,孟斌,,,3:58:05,T2.E
SS6,61,270,东风猛士车队,猛士M817,杜江伟,,,3:58:18,T2.E
SS6,64,276,纵横F700赛车队,纵横F700,李显玉,,,4:03:36,T2.E
SS6,70,277,纵横F700赛车队,纵横F700,梁亚洲,,,4:18:35,T2.E
SS6,72,263,长城坦克Hi4T车队,坦克300 Hi4-T,张剑锋,,,4:22:05,T2.E
SS6,73,275,纵横F700赛车队,纵横F700,周元福,,,4:25:46,T2.E
SS6,74,267,江西五十铃沙蜥越野车队,五十铃D-MAX,王洪江,,,4:25:57,T2.1
SS6,89,272,东风猛士车队,猛士M817,钱红宇,,,5:35:11,T2.E
SS6,92,266,212越野车车队,212 T01,李强,,,5:56:14,T2.1
SS6,95,265,212越野车车队,212 T01,王鹏,,,6:13:16,T2.1
SS6,98,256,长城坦克Hi4T车队,坦克300 Hi4-T,姚卫强,,,6:28:31,T2.E
SS6,121,255,长城坦克Hi4车队,坦克500 Hi4-Z,丽贝卡·布西,,,"1 day, 16:15:00",T2.E
SS6,123,260,长城坦克700K-MAN车队,坦克700,刘红武,,,"1 day, 16:15:00",T2.E
SS6,125,253,长城坦克Hi4T车队,坦克700 Hi4-T,杰拉德·法雷斯,,,"1 day, 16:15:00",T2.E
SS6,,258,长城火炮永利车队,火炮V6,那音太,,,3:43:47,T2.1
,,,,,,,,,
赛段,赛段排名,车号,厂商/车队,车型,车手,,,SS7总用时,组别
SS7,,251,长城坦克700K-MAN车队,坦克700 Hi4-T,尼古拉斯,,,4:08:55,T2.E
SS7,,261,长城坦克700K-MAN车队,坦克700,王惠军,,,4:11:39,T2.E
SS7,,293,沙蜥越赛车队,坦克300,张自昌,,,4:14:48,T2.3
SS7,,257,长城火炮永利车队,火炮V6,魏尼日勒图,,,4:21:46,T2.1
SS7,,269,江西五十铃沙蜥越野车队,五十铃D-MAX T,于泽顺,,,4:21:48,T2.1
SS7,,267,江西五十铃沙蜥越野车队,五十铃D-MAX,王洪江,,,4:23:39,T2.1
SS7,,276,纵横F700赛车队,纵横F700,李显玉,,,4:28:28,T2.E
SS7,,279,纵横G700赛车队,纵横G700,乌日图那生,,,4;29:49,T2.E
SS7,,253,长城坦克Hi4T车队,坦克700 Hi4-T,杰拉德·法雷斯,,,4:30:42,T2.E
SS7,,270,东风猛士车队,猛士M817,杜江伟,,,4:32:58,T2.E
SS7,,277,纵横F700赛车队,纵横F700,梁亚洲,,,4:33:11,T2.E
SS7,,262,长城坦克Hi4车队,坦克300 Hi4-T,马海龙,,,4:36:05,T2.E
SS7,,280,纵横G700赛车队,纵横G700,张洋,,,4:39:22,T2.E
SS7,,275,纵横F700赛车队,纵横F700,周元福,,,4:44:17,T2.E
SS7,,256,长城坦克Hi4T车队,坦克300 Hi4-T,姚卫强,,,4:44:19,T2.E
SS7,,271,东风猛士车队,猛士M817,刘飞亮,,,4:46:34,T2.E
SS7,,266,212越野车车队,212 T01,李强,,,4:46:40,T2.1
SS7,,278,纵横G700赛车队,纵横G700,孟斌,,,4:48:28,T2.E
SS7,,273,东风猛士车队,猛士M817,杜军,,,4:52:24,T2.E
SS7,,263,长城坦克Hi4T车队,坦克300 Hi4-T,张剑锋,,,5:49:41,T2.E
SS7,,272,东风猛士车队,猛士M817,钱红宇,,,5:56:25,T2.E
SS7,,255,长城坦克Hi4车队,坦克500 Hi4-Z,丽贝卡·布西,,,6:02:06,T2.E
SS7,,260,长城坦克700K-MAN车队,坦克700,刘红武,,,"2 days, 1:15:00",T2.E
SS7,,252,长城坦克Hi4车队,坦克700 Hi4-T,保·纳瓦罗,,,"2 days, 3:30:00",T2.E
,,,,,,,,,
赛段,SS8排名,车号,厂商/车队,车型,车手,SS8用时,SS8罚时,SS8总用时,组别
SS8,,253,长城坦克Hi4T车队,坦克700 Hi4-T,法雷西,,,5:08:51,T2.E
SS8,,251,长城坦克700K-MAN车队,坦克700 Hi4-T,尼古拉斯,,,5:23:39,T2.E
SS8,,262,长城坦克Hi4车队,坦克300 Hi4-T,马海龙,,,5:32:28,T2.E
SS8,,271,东风猛士车队,猛士M817,刘飞亮,,,5:23:01,T2.E
SS8,,256,长城坦克Hi4T车队,坦克300 Hi4-T,姚卫强,,,5:38:15,T2.E
SS8,,261,长城坦克700K-MAN车队,坦克700,王惠军,,,6:37:37,T2.E
SS8,,279,纵横G700赛车队,纵横G700,乌日图那生,,,5:33:22,T2.E
SS8,,277,纵横F700赛车队,纵横F700,梁亚洲,,,5:39:06,T2.E
SS8,,275,纵横F700赛车队,纵横F700,周元福,,,5:45:20,T2.E
SS8,,278,纵横G700赛车队,纵横G700,孟斌,,,6:25:56,T2.E
SS8,,276,纵横F700赛车队,纵横F700,李显玉,,,5:46:07,T2.E
SS8,,273,东风猛士车队,猛士M817,杜军,,,7:04:32,T2.E
SS8,,270,东风猛士车队,猛士M817,杜江伟,,,8:22:45,T2.E
SS8,,257,长城火炮永利车队,火炮V6,魏尼日勒图,,,5:20:06,T2.1
SS8,,268,江西五十铃沙蜥越野车队,五十铃D-MAX,梁志辉,,,5:41:12,T2.1
SS8,,252,长城坦克Hi4车队,坦克700 Hi4-T,保·纳瓦罗,,,5:45:58,T2.E
SS8,,259,长城火炮永利车队,火炮V6,李晓文,,,5:54:49,T2.1
SS8,,260,长城坦克700K-MAN车队,坦克700,刘红武,6:07:22,0:05:00,6:12:22,T2.E
SS8,,263,长城坦克Hi4T车队,坦克300 Hi4-T,张剑锋,,,6:29:10,T2.E
SS8,,280,纵横G700赛车队,纵横G700,张洋,,,6:33:54,T2.E
SS8,,255,长城坦克Hi4车队,坦克500 Hi4-Z,丽贝卡·布西,8:30:00,"1 day, 11:30:00","1 day, 20:00:00",T2.E
SS8,,272,东风猛士车队,猛士M817,钱红宇,8:30:00,"1 day, 11:30:00","1 day, 20:00:00",T2.E
,,,,,,,,,
,,,,,,,,,
赛段,SS9排名,车号,厂商/车队,车型,车手,SS9用时,,SS9总成绩,组别
SS9,,257,长城火炮永利车队,火炮V6,魏尼日勒图,6:26:59,,6:26:59,T2.1
SS9,,259,长城火炮永利车队,火炮V6,李晓文,6:59:23,,6:59:23,T2.1
SS9,,258,长城火炮永利车队,火炮V6,那音太,8:06:01,,8:06:01,T2.1
SS9,,261,长城坦克700K-MAN车队,坦克700,王惠军,6:00:31,,6:00:31,T2.E
SS9,,251,长城坦克700K-MAN车队,坦克700 Hi4-T,尼古拉斯,6:22:47,,6:22:47,T2.E
SS9,,256,长城坦克Hi4T车队,坦克300 Hi4-T,姚卫强,6:31:15,,6:31:15,T2.E
SS9,,252,长城坦克Hi4车队,坦克700 Hi4-T,保·纳瓦罗,6:56:31,,6:56:31,T2.E
SS9,,263,长城坦克Hi4T车队,坦克300 Hi4-T,张剑锋,8:09:21,,8:09:21,T2.E
SS9,,262,长城坦克Hi4车队,坦克300 Hi4-T,马海龙,8:31:38,,8:31:38,T2.E
SS9,,278,纵横G700赛车队,纵横G700,孟斌,6:42:04,,6:42:04,T2.E
SS9,,275,纵横F700赛车队,纵横F700,周元福,6:42:04,,6:42:04,T2.E
SS9,,279,纵横G700赛车队,纵横G700,乌日图那生,7:39:54,,7:39:54,T2.E
SS9,,277,纵横F700赛车队,纵横F700,梁亚洲,8:29:38,,8:29:38,T2.E
SS9,,270,东风猛士车队,猛士M817,杜江伟,6:36:46,,6:36:46,T2.E
SS9,,276,纵横F700赛车队,纵横F700,李显玉,8:38:35,,8:38:35,T2.E
